objectid;usoagregad;grupo;area;ruleid;ano;ruleid_1;shape_Length;shape_Area
162;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;4,22296E+13;1;2018;1;1,90101E+14;4,22296E+14
163;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;6753208201;1;2018;1;3,53348E+14;6,75327E+14
164;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;5,63414E+11;1;2018;1;5,34111E+14;5,63414E+14
165;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;5,03062E+11;1;2018;1;3,22346E+14;5,03062E+14
166;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;7,17745E+11;1;2018;1;4,31529E+14;7,17745E+14
167;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,20128E+12;1;2018;1;6,55142E+14;1,20128E+14
168;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;9,3671E+11;1;2018;1;6,5102E+14;9,3671E+14
169;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;7,85475E+11;1;2018;1;5,6946E+14;7,85475E+14
170;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,53855E+11;1;2018;1;1,60878E+14;1,53854E+14
171;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;5,91364E+12;1;2018;1;1,90971E+14;5,91364E+14
172;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;5,39015E+12;1;2018;1;1,96607E+14;5,39015E+14
173;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;3,26177E+12;1;2018;1;1,23259E+14;3,26177E+14
174;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;5,28959E+11;1;2018;1;3,33327E+14;5,28959E+14
175;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;3,02395E+12;1;2018;1;2,2841E+14;3,02395E+13
176;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;7,50318E+11;1;2018;1;5,99501E+14;7,50319E+14
177;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,12174E+12;1;2018;1;5,32279E+14;1,12174E+14
178;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;6,07473E+11;1;2018;1;5,01993E+14;6,07473E+14
179;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;7,88775E+11;1;2018;1;4,20845E+14;7,88775E+14
180;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;3,58326E+13;1;2018;1;8,51923E+14;3,58326E+14
181;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,07413E+12;1;2018;1;9,19408E+14;1,07412E+14
182;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;4,52222E+12;1;2018;1;1,92155E+14;4,52222E+14
183;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,3083E+12;1;2018;1;7,38225E+14;1,3083E+14
